&	Market capitalisation@ $ bn	Employees@ '000
01 Aug 1997	0.6695432	*
01 Sep 1997	1.2421591	*
01 Oct 1997	1.455399	*
01 Nov 1997	1.1810205	*
01 Dec 1997	1.4375047	0.614
01 Jan 1998	1.411516	*
01 Feb 1998	1.842148	*
01 Mar 1998	2.0462496	*
01 Apr 1998	2.195027	*
01 May 1998	2.1293644	*
01 Jun 1998	4.8205185	*
01 Jul 1998	5.3581453	*
01 Aug 1998	4.1598623	*
01 Sep 1998	5.5444135	*
01 Oct 1998	6.2801504	*
01 Nov 1998	10.1233154	*
01 Dec 1998	16.9380994	2.1
01 Jan 1999	18.4968	*
01 Feb 1999	20.266403	*
01 Mar 1999	27.4237863	*
01 Apr 1999	27.4038779	*
01 May 1999	19.1628065	*
01 Jun 1999	20.1915466	*
01 Jul 1999	16.1471859	*
01 Aug 1999	20.9140294	*
01 Sep 1999	26.8834609	*
01 Oct 1999	23.7516112	*
01 Nov 1999	28.9881931	*
01 Dec 1999	25.9424094	7.6
01 Jan 2000	22.0020599	*
01 Feb 2000	23.4717038	*
01 Mar 2000	23.1253849	*
01 Apr 2000	19.0482415	*
01 May 2000	16.9950911	*
01 Jun 2000	12.7738007	*
01 Jul 2000	10.5971978	*
01 Aug 2000	14.7683566	*
01 Sep 2000	13.678523	*
01 Oct 2000	13.0448586	*
01 Nov 2000	8.7930361	*
01 Dec 2000	5.5429519	9
01 Jan 2001	6.1829865	*
01 Feb 2001	3.6383639	*
01 Mar 2001	3.6680188	*
01 Apr 2001	5.6680308	*
01 May 2001	5.9948944	*
01 Jun 2001	5.0825498	*
01 Jul 2001	4.530669	*
01 Aug 2001	3.31657	*
01 Sep 2001	2.2147565	*
01 Oct 2001	2.5948359	*
01 Nov 2001	4.2082439	*
01 Dec 2001	4.0223674	7.8
01 Jan 2002	5.2970021	*
01 Feb 2002	5.2634059	*
01 Mar 2002	5.3380641	*
01 Apr 2002	6.2600086	*
01 May 2002	6.8376247	*
01 Jun 2002	6.0949754	*
01 Jul 2002	5.5012069	*
01 Aug 2002	5.6842127	*
01 Sep 2002	6.0608774	*
01 Oct 2002	7.3851724	*
01 Nov 2002	8.9072198	*
01 Dec 2002	7.2058836	7.5
01 Jan 2003	8.4757462	*
01 Feb 2003	8.5452287	*
01 Mar 2003	10.1059656	*
01 Apr 2003	11.2384241	*
01 May 2003	14.0588024	*
01 Jun 2003	14.2272416	*
01 Jul 2003	16.5305641	*
01 Aug 2003	18.3884661	*
01 Sep 2003	19.2261099	*
01 Oct 2003	21.8305395	*
01 Nov 2003	21.6460448	*
01 Dec 2003	21.1045928	7.8
01 Jan 2004	20.2142052	*
01 Feb 2004	17.390259	*
01 Mar 2004	17.4994282	*
01 Apr 2004	17.6590684	*
01 May 2004	19.6436885	*
01 Jun 2004	22.0333331	*
01 Jul 2004	15.8350453	*
01 Aug 2004	15.5176934	*
01 Sep 2004	16.6243564	*
01 Oct 2004	13.9268148	*
01 Nov 2004	16.1915034	*
01 Dec 2004	18.0726232	9
01 Jan 2005	17.6360075	*
01 Feb 2005	14.3552694	*
01 Mar 2005	14.0702342	*
01 Apr 2005	13.2964098	*
01 May 2005	14.5907142	*
01 Jun 2005	13.5963597	*
01 Jul 2005	18.5978855	*
01 Aug 2005	17.5886979	*
01 Sep 2005	18.6596725	*
01 Oct 2005	16.5208776	*
01 Nov 2005	20.085342	*
01 Dec 2005	19.5423829	12
01 Jan 2006	18.5766617	*
01 Feb 2006	15.6095893	*
01 Mar 2006	15.2301895	*
01 Apr 2006	14.7130403	*
01 May 2006	14.462321	*
01 Jun 2006	16.1630332	*
01 Jul 2006	11.265364	*
01 Aug 2006	12.9159974	*
01 Sep 2006	13.4564333	*
01 Oct 2006	15.6901275	*
01 Nov 2006	16.6169531	*
01 Dec 2006	16.2544613	13.9
01 Jan 2007	15.51712	*
01 Feb 2007	16.2305247	*
01 Mar 2007	16.5000659	*
01 Apr 2007	25.1267969	*
01 May 2007	28.3265407	*
01 Jun 2007	28.0274609	*
01 Jul 2007	32.4683492	*
01 Aug 2007	33.0347057	*
01 Sep 2007	38.5081071	*
01 Oct 2007	37.0130651	*
01 Nov 2007	37.5984652	*
01 Dec 2007	38.4620342	17
01 Jan 2008	32.3232	*
01 Feb 2008	26.8722363	*
01 Mar 2008	29.7191012	*
01 Apr 2008	32.8421538	*
01 May 2008	34.0910161	*
01 Jun 2008	30.6284515	*
01 Jul 2008	32.5148177	*
01 Aug 2008	34.4186851	*
01 Sep 2008	30.9900201	*
01 Oct 2008	24.5463664	*
01 Nov 2008	18.3111434	*
01 Dec 2008	21.9905253	20.7
01 Jan 2009	25.2092579	*
01 Feb 2009	27.767899	*
01 Mar 2009	31.4751428	*
01 Apr 2009	34.5952258	*
01 May 2009	33.5082174	*
01 Jun 2009	35.9443193	*
01 Jul 2009	37.0318029	*
01 Aug 2009	35.0584431	*
01 Sep 2009	40.3135392	*
01 Oct 2009	51.4426851	*
01 Nov 2009	58.8466907	*
01 Dec 2009	58.2448447	24.3
01 Jan 2010	54.3003715	*
01 Feb 2010	52.6342922	*
01 Mar 2010	60.3560629	*
01 Apr 2010	61.1015764	*
01 May 2010	55.913959	*
01 Jun 2010	48.6940791	*
01 Jul 2010	52.7940907	*
01 Aug 2010	55.9019963	*
01 Sep 2010	70.3353964	*
01 Oct 2010	74.1613031	*
01 Nov 2010	78.7259733	*
01 Dec 2010	80.7906226	33.7
01 Jan 2011	76.5082871	*
01 Feb 2011	78.154451	*
01 Mar 2011	81.2393171	*
01 Apr 2011	88.5145576	*
01 May 2011	88.9123555	*
01 Jun 2011	92.4382916	*
01 Jul 2011	101.0096836	*
01 Aug 2011	97.7004952	*
01 Sep 2011	98.1544305	*
01 Oct 2011	97.0945912	*
01 Nov 2011	87.4447049	*
01 Dec 2011	78.7179698	56.2
01 Jan 2012	88.4224267	*
01 Feb 2012	81.7712609	*
01 Mar 2012	92.1559244	*
01 Apr 2012	104.4768664	*
01 May 2012	95.9213869	*
01 Jun 2012	102.8775008	*
01 Jul 2012	105.4668363	*
01 Aug 2012	112.2342539	*
01 Sep 2012	114.969249	*
01 Oct 2012	105.4909197	*
01 Nov 2012	114.1681889	*
01 Dec 2012	113.6336979	88.4
01 Jan 2013	120.6833134	*
01 Feb 2013	120.1242156	*
01 Mar 2013	121.133319	*
01 Apr 2013	115.5451513	*
01 May 2013	122.5513365	*
01 Jun 2013	126.4163471	*
01 Jul 2013	137.6224522	*
01 Aug 2013	128.3751299	*
01 Sep 2013	142.8400619	*
01 Oct 2013	166.6287668	*
01 Nov 2013	180.1731044	*
01 Dec 2013	182.5395872	117.3
01 Jan 2014	164.733593	*
01 Feb 2014	166.299685	*
01 Mar 2014	154.4805124	*
01 Apr 2014	139.950708	*
01 May 2014	143.8253174	*
01 Jun 2014	150.1388189	*
